,lat,lon,city,temp,humidity,windspeed,cloudness
0,46.973000000654025,-126.04399999974237,ucluelet,277.35,90.0,2.17,14.0
1,81.78800000082026,-92.83099999958378,qaanaaq,253.45,98.0,2.05,100.0
2,-67.00699999989021,-82.53499999953462,punta arenas,281.05,70.0,6.7,75.0
3,78.4460000008043,-127.44199999974904,tuktoyaktuk,258.15,71.0,5.7,75.0
4,-9.915999999617611,-108.28099999965755,puerto ayora,298.71,84.0,3.13,93.0
5,-19.074999999661344,-169.14399999994816,alofi,301.15,83.0,2.6,75.0
6,-52.45299999982072,-71.71299999948295,punta arenas,281.05,70.0,6.7,75.0
8,-21.371999999672312,-140.7519999998126,rikitea,299.05,75.0,4.06,100.0
9,23.098000000540026,-55.80499999940699,codrington,287.85,68.0,4.83,100.0
10,20.909000000529574,27.256000000989616,marawi,300.93,81.0,2.68,47.0
11,58.75200000071027,30.274000001004026,batetskiy,269.95,55.0,2.35,0.0
12,-40.5949999997641,-94.08399999958976,ancud,288.15,100.0,2.6,90.0
13,-32.81899999972697,18.110000000945945,saldanha,288.15,87.0,2.6,52.0
14,-24.691999999688164,6.878000000892314,walvis bay,289.41,87.0,5.7,6.0
15,12.827000000490983,69.9140000011933,kavaratti,302.15,70.0,2.1,40.0
16,42.54000000063286,-127.73299999975043,coos bay,280.27,75.0,3.6,75.0
17,15.88600000050559,-149.60499999985487,hilo,292.23,78.0,4.83,90.0
18,-19.88699999966522,20.22200000095603,rundu,293.15,100.0,1.0,90.0
20,58.28500000070804,-18.744999999230032,vestmannaeyjar,277.15,54.0,14.09,100.0
21,-80.12499999995285,-67.94899999946497,ushuaia,281.15,81.0,16.5,90.0
22,-88.81799999999436,-81.26299999952855,ushuaia,281.15,81.0,16.5,90.0
23,-34.75899999973623,4.901000000882874,luderitz,289.15,82.0,1.5,0.0
24,57.04600000070212,-69.57599999947274,iqaluit,263.95,85.0,6.2,90.0
25,-25.600999999692505,6.507000000890542,walvis bay,289.41,87.0,5.7,6.0
26,-47.79199999979846,-165.2749999999297,avarua,301.15,83.0,3.6,100.0
27,61.44800000072314,-0.8959999991448058,brae,280.15,87.0,9.8,100.0
28,25.341000000550736,-146.52499999984016,hilo,292.23,78.0,4.83,90.0
29,-10.080999999618399,-79.49599999952011,huarmey,294.55,77.0,0.86,91.0
30,-75.15799999992913,-6.178999999170031,cape town,290.23,82.0,6.2,73.0
31,50.13600000066913,-84.27399999954292,hearst,268.25,94.0,2.33,3.0
32,-39.24799999975767,-42.99199999934581,cidreira,296.35,78.0,11.89,2.0
33,25.942000000553605,-74.19299999949479,cockburn town,297.55,73.0,8.72,0.0
